"[0.6214534044265747, 0.07208538055419922, -2.758063793182373, 0.9604909420013428]","[0.6583755612373352, 0.016861140727996826, -2.7385547161102295, 0.8005246520042419]","[0.6928415298461914, 0.013205647468566895, -2.738213062286377, 0.8006497621536255]","[0.7240710854530334, 0.009983360767364502, -2.7384419441223145, 0.679160475730896]","[0.5586087107658386, 0.019778432324528694, -2.7634005546569824, 0.9349430203437805]","[0.5204147696495056, 0.018584072589874268, -2.7630720138549805, 0.9646036624908447]","[0.48195239901542664, 0.01803690195083618, -2.763991117477417, 0.9663347601890564]","[0.7519267797470093, 0.005479633808135986, -2.2314248085021973, 0.7289772629737854]","[0.4011915922164917, 0.022365866228938103, -2.347315788269043, 0.9901570081710815]","[0.669402539730072, 0.10565799474716187, -2.5379481315612793, 0.915610671043396]","[0.5727033019065857, 0.10835176706314087, -2.5693016052246094, 0.9773418307304382]","[0.9156734347343445, 0.16101868450641632, -1.4221234321594238, 0.9370278716087341]","[0.16305771470069885, 0.2514140009880066, -1.9775407314300537, 0.9964978098869324]","[1.035836100578308, 0.263289213180542, 0.1293044239282608, 0.20116616785526276]","[-0.07942134886980057, 0.5889945030212402, -1.9162328243255615, 0.9907608032226562]","[0.7801456451416016, 0.4296191334724426, 1.5435068607330322, 0.04556025564670563]","[-0.10876059532165527, 0.9598718285560608, -1.7982890605926514, 0.8274195790290833]","[0.7394121885299683, 0.47600775957107544, 1.7977856397628784, 0.04604494199156761]","[-0.15773844718933105, 1.0369421243667603, -1.8551840782165527, 0.6758533716201782]","[0.7194628119468689, 0.46645164489746094, 1.780627965927124, 0.04663516953587532]","[-0.09838884323835373, 1.0653457641601562, -1.9588075876235962, 0.6868959069252014]","[0.721393346786499, 0.4546353816986084, 1.5759035348892212, 0.05415387079119682]","[-0.03242415189743042, 1.0322482585906982, -1.8434804677963257, 0.7197962999343872]","[0.7025680541992188, 0.6189634799957275, 0.10022824257612228, 0.9894587993621826]","[0.39274370670318604, 0.6368351578712463, -0.09945801645517349, 0.9881901741027832]","[0.693246066570282, 0.8522622585296631, 1.273009181022644, 0.9188574552536011]","[0.4254712164402008, 0.8687847256660461, 1.0321303606033325, 0.9246846437454224]","[0.6822623610496521, 0.9510061144828796, 2.732668399810791, 0.8847866058349609]","[0.43521010875701904, 0.904975175857544, 2.5823280811309814, 0.7525151968002319]","[0.6552346348762512, 0.9379655122756958, 2.8553261756896973, 0.7695356607437134]","[0.4519801735877991, 0.8967453837394714, 2.726297616958618, 0.6769888997077942]","[0.7744757533073425, 1.1093864440917969, 2.5151214599609375, 0.814602255821228]","[0.550186276435852, 1.0750775337219238, 2.3258464336395264, 0.6265673041343689]"
"[0.616327702999115, 0.07576964050531387, -2.8994204998016357, 0.9612720608711243]","[0.6536520719528198, 0.020003462210297585, -2.8691062927246094, 0.8105443716049194]","[0.6860224008560181, 0.016570355743169785, -2.8690617084503174, 0.8102068901062012]","[0.7175434827804565, 0.013536821119487286, -2.869605302810669, 0.6942797303199768]","[0.5572044849395752, 0.024205876514315605, -2.8985705375671387, 0.9370431303977966]","[0.5192869305610657, 0.023757558315992355, -2.8988559246063232, 0.9654369950294495]","[0.48132702708244324, 0.023242315277457237, -2.8994109630584717, 0.9671785831451416]","[0.751771867275238, 0.007412781473249197, -2.314368724822998, 0.7393800616264343]","[0.40164390206336975, 0.023026809096336365, -2.4499945640563965, 0.9899728298187256]","[0.6634531617164612, 0.10723906755447388, -2.65789794921875, 0.9174088835716248]","[0.5697924494743347, 0.10981083661317825, -2.6946306228637695, 0.9772796630859375]","[0.9167181253433228, 0.1632852405309677, -1.5149586200714111, 0.9409789443016052]","[0.17217670381069183, 0.2379392385482788, -1.9527064561843872, 0.9963630437850952]","[1.0289579629898071, 0.2982543408870697, -0.2269047647714615, 0.2049524039030075]","[-0.03865690529346466, 0.5689185261726379, -1.6683155298233032, 0.9850849509239197]","[0.808161199092865, 0.43695616722106934, 0.6075932383537292, 0.04520583525300026]","[-0.1254926323890686, 0.8639043569564819, -1.590023398399353, 0.8000847101211548]","[0.755455732345581, 0.48823562264442444, 0.7487391829490662, 0.04531029239296913]","[-0.19048099219799042, 0.9236153364181519, -1.6516259908676147, 0.6489612460136414]","[0.7510387897491455, 0.4808277189731598, 0.6760934591293335, 0.046159904450178146]","[-0.144389808177948, 0.9323951601982117, -1.7788060903549194, 0.6616286039352417]","[0.7356738448143005, 0.46171993017196655, 0.6042782068252563, 0.053301841020584106]","[-0.07485278695821762, 0.907315731048584, -1.6441998481750488, 0.6948421597480774]","[0.7007536292076111, 0.6156338453292847, 0.07402090728282928, 0.9890162348747253]","[0.39196401834487915, 0.6216861605644226, -0.07405710220336914, 0.9872496128082275]","[0.6854404211044312, 0.84998619556427, 1.134737253189087, 0.9037491679191589]","[0.4252625107765198, 0.8613295555114746, 0.9774417877197266, 0.8991901278495789]","[0.6805114150047302, 0.9431033730506897, 2.703251838684082, 0.8564724922180176]","[0.43524205684661865, 0.8947107791900635, 2.540118455886841, 0.7143054008483887]","[0.655227780342102, 0.9344257116317749, 2.833009958267212, 0.7301551699638367]","[0.45188045501708984, 0.8873085975646973, 2.6849560737609863, 0.6380300521850586]","[0.7138971090316772, 1.0944368839263916, 2.4713730812072754, 0.7756295204162598]","[0.5196583867073059, 1.0554529428482056, 2.276677131652832, 0.5940922498703003]"
"[0.6137254238128662, 0.07832040637731552, -3.1724164485931396, 0.9616515040397644]","[0.6493472456932068, 0.024427633732557297, -3.138702154159546, 0.8177579641342163]","[0.6788110733032227, 0.021373922005295753, -3.1386706829071045, 0.8172828555107117]","[0.7085567116737366, 0.01869693212211132, -3.139199733734131, 0.7057021260261536]","[0.5564138889312744, 0.02898167073726654, -3.1621010303497314, 0.9381793737411499]","[0.5189318656921387, 0.029046135023236275, -3.16264009475708, 0.965884804725647]","[0.4812932312488556, 0.028708135709166527, -3.163398027420044, 0.96766597032547]","[0.7472398281097412, 0.011446377262473106, -2.5584428310394287, 0.7470065355300903]","[0.4020617604255676, 0.02471364475786686, -2.6723318099975586, 0.9896107912063599]","[0.6600074172019958, 0.10862132906913757, -2.923022508621216, 0.9188995361328125]","[0.5671694874763489, 0.11135702580213547, -2.95361590385437, 0.9770892262458801]","[0.9171093106269836, 0.16549108922481537, -1.7427619695663452, 0.9445026516914368]","[0.17396555840969086, 0.23794284462928772, -2.1087746620178223, 0.9962280988693237]","[0.9937002658843994, 0.32260623574256897, -0.4634842276573181, 0.20656642317771912]","[-0.011839690618216991, 0.5702744722366333, -1.8056367635726929, 0.9803449511528015]","[0.784285306930542, 0.44883617758750916, 0.4176625609397888, 0.043626461178064346]","[-0.1183113306760788, 0.8888232111930847, -1.8318051099777222, 0.7699783444404602]","[0.7276751399040222, 0.5053179860115051, 0.5538133978843689, 0.04344426468014717]","[-0.18972042202949524, 0.9551748037338257, -1.9283777475357056, 0.6185662746429443]","[0.7295307517051697, 0.49751684069633484, 0.4881827235221863, 0.04432807117700577]","[-0.13926440477371216, 0.9692546129226685, -2.059478282928467, 0.6320214867591858]","[0.7044899463653564, 0.4753739833831787, 0.41991356015205383, 0.05103423446416855]","[-0.07078087329864502, 0.9406471252441406, -1.8929153680801392, 0.6655489206314087]","[0.6976796388626099, 0.6116166710853577, 0.06132892519235611, 0.9891076683998108]","[0.39108166098594666, 0.613192081451416, -0.06145795062184334, 0.9868025779724121]","[0.6822667717933655, 0.8482943773269653, 1.0853893756866455, 0.8870595693588257]","[0.4245625436306, 0.8559053540229797, 0.9822460412979126, 0.8718743920326233]","[0.6829038262367249, 0.9710773825645447, 2.7258598804473877, 0.8291138410568237]","[0.435234934091568, 0.8889320492744446, 2.613995313644409, 0.677060604095459]","[0.6650949120521545, 0.9822920560836792, 2.868048906326294, 0.6948988437652588]","[0.4512401521205902, 0.8827411532402039, 2.7683613300323486, 0.6014991402626038]","[0.6938880085945129, 1.0946906805038452, 2.475780725479126, 0.7416249513626099]","[0.51662278175354, 1.0485275983810425, 2.3292644023895264, 0.564359188079834]"
"[0.611824095249176, 0.0782785415649414, -3.220133066177368, 0.9625915288925171]","[0.6473174691200256, 0.02430533431470394, -3.18036150932312, 0.8245198130607605]","[0.675900399684906, 0.02137482911348343, -3.180333375930786, 0.824389636516571]","[0.7053137421607971, 0.018884558230638504, -3.1807801723480225, 0.7159972786903381]","[0.5561000108718872, 0.02880684658885002, -3.1995582580566406, 0.9396827220916748]","[0.5188024640083313, 0.028949791565537453, -3.200031280517578, 0.9667881727218628]","[0.4812803268432617, 0.0286784078925848, -3.200831651687622, 0.9684454798698425]","[0.7453199028968811, 0.012786741368472576, -2.6010186672210693, 0.7523746490478516]","[0.4021872580051422, 0.02470770664513111, -2.69663405418396, 0.9895380139350891]","[0.6576958894729614, 0.10862118005752563, -2.9759013652801514, 0.9197058081626892]","[0.5642401576042175, 0.11148683726787567, -3.000986337661743, 0.9769113063812256]","[0.9165111780166626, 0.16734236478805542, -1.7815812826156616, 0.9462613463401794]","[0.17498411238193512, 0.23830316960811615, -2.1765987873077393, 0.9960202574729919]","[0.9097529649734497, 0.3137945532798767, -0.3994084596633911, 0.19988739490509033]","[-0.0028488971292972565, 0.5897406935691833, -2.035276174545288, 0.9769083261489868]","[0.7779850363731384, 0.4499543011188507, 0.6504067182540894, 0.04148346558213234]","[-0.1186845600605011, 0.9256125688552856, -2.095564603805542, 0.7501509189605713]","[0.7194470763206482, 0.5031104683876038, 0.8227837085723877, 0.041315194219350815]","[-0.19599777460098267, 0.9926231503486633, -2.206818103790283, 0.5971742272377014]","[0.7039473652839661, 0.49549850821495056, 0.7547607421875, 0.042256176471710205]","[-0.14262054860591888, 1.0098320245742798, -2.3388216495513916, 0.6118195652961731]","[0.69342440366745, 0.47782909870147705, 0.657185971736908, 0.04865280166268349]","[-0.07059381902217865, 0.9811955094337463, -2.1593120098114014, 0.6465491652488708]","[0.6953817009925842, 0.6096057295799255, 0.057125724852085114, 0.9892953038215637]","[0.39022713899612427, 0.6090701818466187, -0.057279929518699646, 0.9863574504852295]","[0.6816871762275696, 0.8487969636917114, 1.0667880773544312, 0.8642181158065796]","[0.4229215681552887, 0.851428210735321, 0.987170398235321, 0.8361862301826477]","[0.6874822378158569, 0.9885937571525574, 2.7273905277252197, 0.797189474105835]","[0.4333941340446472, 0.8863335251808167, 2.690790891647339, 0.6339117884635925]","[0.6747922897338867, 1.0036969184875488, 2.870797634124756, 0.6572439670562744]","[0.449274480342865, 0.8805001974105835, 2.850381374359131, 0.5612819194793701]","[0.690541684627533, 1.103687047958374, 2.476757287979126, 0.703551173210144]","[0.5166328549385071, 1.0480223894119263, 2.4174954891204834, 0.5298811197280884]"
"[0.6110293865203857, 0.07893059402704239, -3.1475419998168945, 0.9640205502510071]","[0.6464069485664368, 0.02552924118936062, -3.1114706993103027, 0.8338143825531006]","[0.674716591835022, 0.0227486751973629, -3.1113996505737305, 0.8335258364677429]","[0.7042173743247986, 0.020329564809799194, -3.1118457317352295, 0.730201005935669]","[0.5560947060585022, 0.03009732998907566, -3.128206968307495, 0.9422212839126587]","[0.5188611745834351, 0.03036339581012726, -3.1285932064056396, 0.9680101275444031]","[0.48154136538505554, 0.030075298622250557, -3.1292548179626465, 0.9695591926574707]","[0.7450735569000244, 0.01422323938459158, -2.5427675247192383, 0.7610625624656677]","[0.40270575881004333, 0.024960031732916832, -2.629758358001709, 0.9895825982093811]","[0.6559427976608276, 0.11010915786027908, -2.904658555984497, 0.9212431311607361]","[0.562842607498169, 0.1131257563829422, -2.9265785217285156, 0.9769536852836609]","[0.9133464097976685, 0.16975238919258118, -1.7359203100204468, 0.947648286819458]","[0.18011151254177094, 0.23825152218341827, -2.1213574409484863, 0.9957751631736755]","[0.8829353451728821, 0.31388211250305176, -0.43602830171585083, 0.19405768811702728]","[0.0016070996643975377, 0.5897762179374695, -1.8826221227645874, 0.9721204042434692]","[0.7606855630874634, 0.45147305727005005, 0.48296070098876953, 0.03930108994245529]","[-0.11727499961853027, 0.92657470703125, -1.8943153619766235, 0.7194222807884216]","[0.7085591554641724, 0.5056332349777222, 0.6239315867424011, 0.03911840170621872]","[-0.1935485303401947, 0.9952080249786377, -2.01102614402771, 0.5671209096908569]","[0.6860784888267517, 0.49755963683128357, 0.5520179867744446, 0.04004361107945442]","[-0.13960838317871094, 1.0135093927383423, -2.1710634231567383, 0.581931471824646]","[0.6817020177841187, 0.4787657856941223, 0.48223432898521423, 0.04614878073334694]","[-0.0679963156580925, 0.9839571714401245, -1.967622995376587, 0.6183900833129883]","[0.6926353573799133, 0.6083033084869385, 0.05354290083050728, 0.9892356395721436]","[0.3887944221496582, 0.6068724393844604, -0.053399812430143356, 0.9857362508773804]","[0.6812925338745117, 0.8500301241874695, 0.9088495373725891, 0.8446442484855652]","[0.4211004674434662, 0.852201521396637, 0.93958979845047, 0.8039546608924866]","[0.6907120943069458, 1.0046422481536865, 2.5121469497680664, 0.7666717171669006]","[0.4306171238422394, 0.8899255394935608, 2.5951790809631348, 0.5964357852935791]","[0.6792460680007935, 1.0214571952819824, 2.64665150642395, 0.6272377371788025]","[0.4455622136592865, 0.8858680725097656, 2.7493584156036377, 0.5276718139648438]","[0.6909504532814026, 1.119386076927185, 2.275822162628174, 0.6654989123344421]","[0.5005171298980713, 1.0502972602844238, 2.3229761123657227, 0.49697145819664]"
"[0.6112673878669739, 0.07968948781490326, -2.8953933715820312, 0.965566873550415]","[0.646452009677887, 0.026407836005091667, -2.862124443054199, 0.844973087310791]","[0.6748491525650024, 0.023563621565699577, -2.862072229385376, 0.8442009091377258]","[0.7044693827629089, 0.020965171977877617, -2.8624260425567627, 0.7479720711708069]","[0.5575841665267944, 0.031022150069475174, -2.881516218185425, 0.9456790685653687]","[0.5213260650634766, 0.031323883682489395, -2.8819634914398193, 0.9696202874183655]","[0.48481959104537964, 0.03106880560517311, -2.8823206424713135, 0.9711893200874329]","[0.7450383901596069, 0.014854039065539837, -2.331644296646118, 0.7744709849357605]","[0.4043361246585846, 0.025989077985286713, -2.429759979248047, 0.9898194074630737]","[0.6560214757919312, 0.11236312240362167, -2.6656763553619385, 0.9238808751106262]","[0.5631058812141418, 0.11483018100261688, -2.689812421798706, 0.9773404598236084]","[0.9114029407501221, 0.1725848764181137, -1.6739600896835327, 0.9498043656349182]","[0.18565133213996887, 0.23850581049919128, -1.8743213415145874, 0.9956219792366028]","[0.868381917476654, 0.32472750544548035, -0.42353227734565735, 0.18828223645687103]","[-0.0008333405712619424, 0.5716387629508972, -1.5127507448196411, 0.9644275903701782]","[0.7234990000724792, 0.4541236460208893, 0.35908928513526917, 0.037357546389102936]","[-0.117381252348423, 0.8555558323860168, -1.353088140487671, 0.6825190782546997]","[0.6771981716156006, 0.5057535171508789, 0.46647942066192627, 0.037225138396024704]","[-0.19184766709804535, 0.9154600501060486, -1.4053770303726196, 0.5339941382408142]","[0.6680182218551636, 0.49579891562461853, 0.4116579592227936, 0.038091953843832016]","[-0.14106988906860352, 0.9227041006088257, -1.527355670928955, 0.5485503673553467]","[0.6665166616439819, 0.47954702377319336, 0.3577856123447418, 0.04386432096362114]","[-0.07159392535686493, 0.8958053588867188, -1.408731460571289, 0.5861877202987671]","[0.6894730925559998, 0.6079263687133789, 0.050595950335264206, 0.9892203211784363]","[0.38839730620384216, 0.6065347194671631, -0.050223324447870255, 0.9857689738273621]","[0.6804357767105103, 0.8497483730316162, 0.9721366167068481, 0.8423377275466919]","[0.4167078733444214, 0.8505303263664246, 0.9338845014572144, 0.7950493693351746]","[0.6837440729141235, 0.9856796860694885, 2.371615171432495, 0.7624436616897583]","[0.4235410690307617, 0.8963635563850403, 2.337538957595825, 0.5851148366928101]","[0.665812075138092, 0.9976158142089844, 2.4845669269561768, 0.6148048639297485]","[0.4364857077598572, 0.8915509581565857, 2.464158773422241, 0.5135558247566223]","[0.6972545385360718, 1.1251888275146484, 2.1478347778320312, 0.6503862142562866]","[0.4361599385738373, 1.0608758926391602, 2.0803935527801514, 0.48341384530067444]"
"[0.610991358757019, 0.07970508188009262, -2.859358310699463, 0.9679888486862183]","[0.6461267471313477, 0.026370089501142502, -2.8225202560424805, 0.8575354218482971]","[0.674524188041687, 0.023499872535467148, -2.82235050201416, 0.8565110564231873]","[0.7042509317398071, 0.02092491276562214, -2.822625160217285, 0.7677121162414551]","[0.5575945973396301, 0.030950402840971947, -2.8398845195770264, 0.9499251246452332]","[0.5213620066642761, 0.03128734976053238, -2.8402838706970215, 0.9718610644340515]","[0.484963059425354, 0.03106323443353176, -2.8406178951263428, 0.9733195900917053]","[0.744985044002533, 0.014774958603084087, -2.284590244293213, 0.7903923392295837]","[0.4055570363998413, 0.025994354858994484, -2.375100612640381, 0.9904178977012634]","[0.6555911898612976, 0.11272715032100677, -2.629342555999756, 0.9284997582435608]","[0.5628396272659302, 0.11544512957334518, -2.651304006576538, 0.9786006808280945]","[0.9066396951675415, 0.17709818482398987, -1.59467613697052, 0.9513848423957825]","[0.1931511014699936, 0.2371973842382431, -1.8400956392288208, 0.9956042170524597]","[0.8641367554664612, 0.3291700482368469, -0.3606076240539551, 0.18435075879096985]","[-0.0012871228391304612, 0.5617122054100037, -1.4401320219039917, 0.9587629437446594]","[0.7244607210159302, 0.460448682308197, 0.4561925530433655, 0.035882141441106796]","[-0.1100895032286644, 0.8494006991386414, -1.203919529914856, 0.6485080122947693]","[0.6828643083572388, 0.5085933804512024, 0.5704004764556885, 0.03579185903072357]","[-0.18098123371601105, 0.9129936099052429, -1.2380878925323486, 0.5035109519958496]","[0.6676713228225708, 0.49969711899757385, 0.5137560367584229, 0.036606863141059875]","[-0.13252824544906616, 0.9213773012161255, -1.3529112339019775, 0.5176543593406677]","[0.6666861772537231, 0.48239895701408386, 0.45508113503456116, 0.0421551913022995]","[-0.06583226472139359, 0.8928958773612976, -1.25298011302948, 0.5569590330123901]","[0.6860150098800659, 0.6079448461532593, 0.05270922929048538, 0.9890284538269043]","[0.3870694935321808, 0.607361912727356, -0.05232301726937294, 0.9858589172363281]","[0.6810091733932495, 0.8475341796875, 0.8884733319282532, 0.839139997959137]","[0.4135538935661316, 0.8519313931465149, 0.8180948495864868, 0.7889335751533508]","[0.6951187252998352, 1.0007259845733643, 2.3398051261901855, 0.7568893432617188]","[0.41815775632858276, 0.9063314199447632, 2.2064261436462402, 0.5772486329078674]","[0.6782443523406982, 1.0181959867477417, 2.459815263748169, 0.6054068803787231]","[0.4293569028377533, 0.9007568955421448, 2.332486152648926, 0.5026403665542603]","[0.7001826763153076, 1.1290143728256226, 2.146367073059082, 0.6342514753341675]","[0.422397255897522, 1.085567593574524, 1.9362496137619019, 0.47064486145973206]"
"[0.6109099984169006, 0.08350967615842819, -2.8652141094207764, 0.9693823456764221]","[0.645789384841919, 0.029410263523459435, -2.834855556488037, 0.8670821785926819]","[0.6738492846488953, 0.026498902589082718, -2.83465576171875, 0.8656714558601379]","[0.7032142877578735, 0.02413223683834076, -2.834897041320801, 0.7828776836395264]","[0.5577341914176941, 0.035271767526865005, -2.8473222255706787, 0.9530117511749268]","[0.5216281414031982, 0.035898949950933456, -2.848158597946167, 0.9733192920684814]","[0.4854074716567993, 0.035760171711444855, -2.8481509685516357, 0.9747560024261475]","[0.7430227994918823, 0.01823389157652855, -2.294747829437256, 0.8016039133071899]","[0.4068494439125061, 0.029236000031232834, -2.382167100906372, 0.9907077550888062]","[0.6551814675331116, 0.11670700460672379, -2.63375186920166, 0.9307860732078552]","[0.5627419352531433, 0.1189061850309372, -2.660386085510254, 0.9791103005409241]","[0.9001513719558716, 0.17986924946308136, -1.594504475593567, 0.9528704881668091]","[0.19754467904567719, 0.23639582097530365, -1.8787944316864014, 0.9955388307571411]","[0.8396713733673096, 0.33494657278060913, -0.4028969407081604, 0.17974860966205597]","[-0.004393791779875755, 0.5576233267784119, -1.4895330667495728, 0.9557952284812927]","[0.7076692581176758, 0.4632623493671417, 0.4026830792427063, 0.03453085571527481]","[-0.10255755484104156, 0.8572952747344971, -1.220425009727478, 0.6198110580444336]","[0.6816089749336243, 0.5097898244857788, 0.5178313851356506, 0.034436922520399094]","[-0.1677594631910324, 0.9244404435157776, -1.2433165311813354, 0.47585782408714294]","[0.6640775799751282, 0.5011458396911621, 0.46371161937713623, 0.035218894481658936]","[-0.11701110005378723, 0.9346379637718201, -1.350602388381958, 0.48967596888542175]","[0.663011372089386, 0.4831494092941284, 0.4031597971916199, 0.04059108346700668]","[-0.054408568888902664, 0.9046615958213806, -1.2639137506484985, 0.5304147005081177]","[0.6836767792701721, 0.6074517369270325, 0.05416176840662956, 0.9885702133178711]","[0.3841855823993683, 0.6074104905128479, -0.053747665137052536, 0.9854817986488342]","[0.6818932890892029, 0.847322940826416, 0.8260523080825806, 0.8326859474182129]","[0.41113489866256714, 0.863404393196106, 0.7610377073287964, 0.780254065990448]","[0.697813868522644, 1.0306410789489746, 2.231295108795166, 0.7446866035461426]","[0.4134449362754822, 0.9281172752380371, 2.0996885299682617, 0.5623810887336731]","[0.6799144148826599, 1.050749659538269, 2.348781108856201, 0.5913937091827393]","[0.4205070436000824, 0.9226829409599304, 2.2244646549224854, 0.48412829637527466]","[0.7018373012542725, 1.1545530557632446, 2.03739333152771, 0.6114992499351501]","[0.3941255211830139, 1.1199690103530884, 1.8157447576522827, 0.4517538249492645]"
"[0.6047443151473999, 0.08336851000785828, -2.873509407043457, 0.9690315127372742]","[0.6384958624839783, 0.02916531451046467, -2.8423573970794678, 0.8706674575805664]","[0.665712296962738, 0.026233434677124023, -2.8422446250915527, 0.8694452047348022]","[0.6941220760345459, 0.023922396823763847, -2.842604637145996, 0.7896478176116943]","[0.5526415109634399, 0.03497520089149475, -2.856825113296509, 0.9532251358032227]","[0.517788290977478, 0.03555876016616821, -2.8574366569519043, 0.9731717705726624]","[0.4829983413219452, 0.03546951711177826, -2.8578202724456787, 0.9746181964874268]","[0.7336689829826355, 0.018096335232257843, -2.3077499866485596, 0.8045594692230225]","[0.4069163203239441, 0.029593074694275856, -2.394479990005493, 0.9899661540985107]","[0.6494578719139099, 0.11666520684957504, -2.6446244716644287, 0.9298785924911499]","[0.5584040880203247, 0.11885295063257217, -2.668602228164673, 0.9781173467636108]","[0.8934603333473206, 0.18056242167949677, -1.6009832620620728, 0.9523757696151733]","[0.19673524796962738, 0.2404729723930359, -1.888092041015625, 0.9950979351997375]","[0.863895833492279, 0.3621801435947418, -0.42416393756866455, 0.17640329897403717]","[0.013491914607584476, 0.5607749223709106, -1.5634950399398804, 0.9508997797966003]","[0.7100337743759155, 0.4954407215118408, 0.42907634377479553, 0.03334885090589523]","[-0.09704248607158661, 0.8673772811889648, -1.4005467891693115, 0.5946265459060669]","[0.6624550223350525, 0.5127243995666504, 0.5502870678901672, 0.033195581287145615]","[-0.16566817462444305, 0.9335042238235474, -1.4468458890914917, 0.45284420251846313]","[0.6600929498672485, 0.5032485127449036, 0.4945157468318939, 0.03399168699979782]","[-0.11700734496116638, 0.9453176856040955, -1.560363531112671, 0.46696674823760986]","[0.6409096121788025, 0.48836657404899597, 0.43126505613327026, 0.03917543962597847]","[-0.053623683750629425, 0.9155547022819519, -1.4502968788146973, 0.5086982250213623]","[0.6837472319602966, 0.6057971119880676, 0.05385975539684296, 0.9877620935440063]","[0.3842180371284485, 0.605908215045929, -0.05348415672779083, 0.9847586154937744]","[0.6867125630378723, 0.8475263118743896, 0.8958561420440674, 0.8132503032684326]","[0.4137687087059021, 0.866514265537262, 0.7388511896133423, 0.7582661509513855]","[0.6819637417793274, 0.9786086678504944, 2.36960506439209, 0.7176087498664856]","[0.41664472222328186, 0.9271820783615112, 2.1327316761016846, 0.5377493500709534]","[0.6576696038246155, 0.9904590249061584, 2.4832868576049805, 0.5695446133613586]","[0.4229110777378082, 0.92421954870224, 2.2624318599700928, 0.4594738483428955]","[0.677527129650116, 1.0864274501800537, 2.060807704925537, 0.5820123553276062]","[0.41377517580986023, 1.110203742980957, 1.8375515937805176, 0.4292433261871338]"
"[0.5921810269355774, 0.07132736593484879, -2.647141218185425, 0.9692257046699524]","[0.6262779831886292, 0.0181265939027071, -2.611952066421509, 0.8782981038093567]","[0.6536071300506592, 0.016014352440834045, -2.6118292808532715, 0.8763300776481628]","[0.6811021566390991, 0.01473192684352398, -2.6124584674835205, 0.8021542429924011]","[0.5406544208526611, 0.0244350116699934, -2.620250701904297, 0.9556080102920532]","[0.507722795009613, 0.026168422773480415, -2.6208503246307373, 0.9741738438606262]","[0.47597503662109375, 0.02771168388426304, -2.621328592300415, 0.9757963418960571]","[0.720387876033783, 0.014479557052254677, -2.104128122329712, 0.8131831288337708]","[0.4071742594242096, 0.02745846100151539, -2.151226282119751, 0.990022599697113]","[0.6400133371353149, 0.10308699309825897, -2.4320809841156006, 0.9321991801261902]","[0.5493342876434326, 0.10914599150419235, -2.4426443576812744, 0.9787190556526184]","[0.8853380084037781, 0.18123991787433624, -1.4104812145233154, 0.9492777585983276]","[0.1988307535648346, 0.24030251801013947, -1.6546624898910522, 0.995072603225708]","[0.8648425340652466, 0.3532429337501526, -0.29132068157196045, 0.16802942752838135]","[0.015009683556854725, 0.5309765934944153, -1.0858168601989746, 0.9402157068252563]","[0.7130674719810486, 0.4907938539981842, 0.5365138649940491, 0.0310602355748415]","[0.05908220261335373, 0.6562862992286682, -0.6646018624305725, 0.5536222457885742]","[0.6675817966461182, 0.51194167137146, 0.6522907614707947, 0.031085671856999397]","[0.05898258462548256, 0.7185138463973999, -0.6536877155303955, 0.4201946556568146]","[0.6582776308059692, 0.49802184104919434, 0.5975905060768127, 0.031820397824048996]","[0.05513133108615875, 0.7786396145820618, -0.7124282121658325, 0.43332719802856445]","[0.6464900374412537, 0.4867551326751709, 0.5390222668647766, 0.0366734080016613]","[0.13974513113498688, 0.6617580056190491, -0.6785449981689453, 0.47353628277778625]","[0.6836521625518799, 0.6035351753234863, 0.05686281993985176, 0.9868171811103821]","[0.38246116042137146, 0.6016337275505066, -0.05659570172429085, 0.9850678443908691]","[0.6915867328643799, 0.8478150367736816, 0.8319737315177917, 0.7930116057395935]","[0.41711968183517456, 0.8666672706604004, 0.6501473188400269, 0.7471599578857422]","[0.6660820245742798, 0.936015784740448, 2.4088478088378906, 0.689784586429596]","[0.4179885983467102, 0.9390418529510498, 2.053617238998413, 0.5270016193389893]","[0.6362688541412354, 0.9864230751991272, 2.540539026260376, 0.5512208938598633]","[0.42373019456863403, 0.9377680420875549, 2.1873762607574463, 0.4469035565853119]","[0.657193124294281, 1.0289318561553955, 2.076181650161743, 0.5559462308883667]","[0.42496511340141296, 1.1263738870620728, 1.7516462802886963, 0.41686514019966125]"
